ext_id,code,reconcile,type,user_type,name,sat_group_,nature,parent
"bamc_4101013","4101-013","False","Normal","account.data_account_type_expense","GTOS DE OPER.- Fletes y Acarreos","l10n_mx.g602_72","Deudora","bamc_4101"
"bamc_4101016","4101-016","False","Normal","account.data_account_type_expense","GTOS DE OPER.- Diversos Gastos","l10n_mx.g602_84","Deudora","bamc_4101"
"bamc_4101038","4101-038","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Agua Purificada","l10n_mx.g602_51","Deudora","bamc_4101"
"bamc_4101040","4101-040","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Uniformes","l10n_mx.g602_77","Deudora","bamc_4101"
"bamc_4101041","4101-041","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Cuotas al IMSS","l10n_mx.g602_26","Deudora","bamc_4101"
"bamc_4101042","4101-042","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Aportaciones al INFONAVIT","l10n_mx.g602_27","Deudora","bamc_4101"
"bamc_4101043","4101-043","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Aportaciones al RCV","l10n_mx.g602_28","Deudora","bamc_4101"
"bamc_4101044","4101-044","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Impuesto Estatal sobre Nominas","l10n_mx.g602_29","Deudora","bamc_4101"
"bamc_4106","4106","False","Vista","account.account_type_expense_view1","GASTOS DE ADMINISTRACION","l10n_mx.g603","Deudora","bamc_0000"
"bamc_4106001","4106-001","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-HONORARIOS","l10n_mx.g603_34","Deudora","bamc_4106"
"bamc_4106002","4106-002","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Uniformes de trabajo","l10n_mx.g603_75","Deudora","bamc_4106"
"bamc_4106003","4106-003","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Telefono y Correos","l10n_mx.g603_50","Deudora","bamc_4106"
"bamc_4106004","4106-004","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Papeleria y Articulo de Oficina","l10n_mx.g603_55","Deudora","bamc_4106"
"bamc_4106005","4106-005","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Viaticos y Gastos de Viaje","l10n_mx.g603_49","Deudora","bamc_4106"
"bamc_4106006","4106-006","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Cuotas y Suscripciones","l10n_mx.g603_60","Deudora","bamc_4106"
"bamc_4106007","4106-007","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Vigilancia y Seguridad","l10n_mx.g603_53","Deudora","bamc_4106"
"bamc_4106008","4106-008","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Servicio de Taxi","l10n_mx.g603_16","Deudora","bamc_4106"
"bamc_4106009","4106-009","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Paqueteria y Mensajeria","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106010","4106-010","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Mantenimiento Eqpo oficina","l10n_mx.g603_56","Deudora","bamc_4106"
"bamc_4106011","4106-011","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Mantenimiento Eqpo computo","l10n_mx.g603_56","Deudora","bamc_4106"
"bamc_4106012","4106-012","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Articulos de Limpieza","l10n_mx.g603_54","Deudora","bamc_4106"
"bamc_4106013","4106-013","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Gastos de Transporte","l10n_mx.g603_16","Deudora","bamc_4106"
"bamc_4106017","4106-017","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Robos y/o Asaltos","l10n_mx.g603_81","Deudora","bamc_4106"
"bamc_4106018","4106-018","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Accesorios para Equipo de Computo","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106019","4106-019","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Depreciaciones","l10n_mx.g603_81","Deudora","bamc_4106"
"bamc_4106022","4106-022","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Donativos","l10n_mx.g603_63","Deudora","bamc_4106"
"bamc_4106023","4106-023","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Capacitacion y Adiestramiento","l10n_mx.g603_62","Deudora","bamc_4106"
"bamc_4106024","4106-024","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Seguridad e Higiene","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106025","4106-025","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Patrocinio","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106026","4106-026","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Internet","l10n_mx.g603_50","Deudora","bamc_4106"
"bamc_4106029","4106-029","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Libros y Revistas","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106030","4106-030","False","Normal","account.data_account_type_expense","GTOS DE ADMON.- Folios Emitidos CFDI","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106031","4106-031","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Honorarios Inteligencia de Mercado","l10n_mx.g603_34","Deudora","bamc_4106"
"bamc_4106032","4106-032","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Seguro Empresarial","l10n_mx.g603_75","Deudora","bamc_4106"
"bamc_4106033","4106-033","False","Normal","account.data_account_type_expense","GTOS. DE ADMON.-Otros Impuestos y Derechos","l10n_mx.g603_58","Deudora","bamc_4106"
"bamc_4106034","4106-034","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Iva No Acreditado","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106036","4106-036","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Costo por Venta de Activo Fijo","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106037","4106-037","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Perdida Contable en Vta de Activo F","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106038","4106-038","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Pagina Web","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106039","4106-039","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Asesorias","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106040","4106-040","False","Normal","account.data_account_type_expense","GTOS DE ADMON.- Desarrollos y aplicaciones Softwar","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106041","4106-041","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Posada Navideña","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106042","4106-042","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Seguros y Fianzas","l10n_mx.g603_57","Deudora","bamc_4106"
"bamc_4106043","4106-043","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Gratificacion Anual","l10n_mx.g603_12","Deudora","bamc_4106"
"bamc_4107","4107","False","Vista","account.account_type_expense_view1","GASTOS FINANCIEROS","l10n_mx.g701","Deudora","bamc_0000"
"bamc_4107001","4107-001","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.-Comisiones Bancarias","l10n_mx.g701_10","Deudora","bamc_4107"
"bamc_4107002","4107-002","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.-Intereses a Cargo Bancarios","l10n_mx.g701_04","Deudora","bamc_4107"
"bamc_4107003","4107-003","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.-Perdida Cambiaria","l10n_mx.g701_01","Deudora","bamc_4107"
"bamc_4107004","4107-004","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.-Comisiones por Apertura","l10n_mx.g701_11","Deudora","bamc_4107"
"bamc_4107006","4107-006","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.- Actualizacion","l10n_mx.g701_11","Deudora","bamc_4107"
"bamc_4107009","4107-009","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.-Recargos","l10n_mx.g701_11","Deudora","bamc_4107"
"bamc_4107010","4107-010","False","Normal","account.data_account_type_expense","GTOS FINANCIEROS.-Multas","l10n_mx.g701_11","Deudora","bamc_4107"
"bamc_4108","4108","False","Vista","account.account_type_income_view1","PRODUCTOS FINANCIEROS","l10n_mx.g702","Acreedora","bamc_0000"
"bamc_4108001","4108-001","False","Normal","account.data_account_type_income","PRODUCTOS FINANCIEROS.-Utilidad Cambiaria","l10n_mx.g702_01","Acreedora","bamc_4108"
"bamc_4108002","4108-002","False","Normal","account.data_account_type_income","PRODUCTOS FINANCIEROS.-Intereses a Favor Bancarios","l10n_mx.g702_04","Acreedora","bamc_4108"
"bamc_4108003","4108-003","False","Normal","account.data_account_type_income","PRODUCTOS FINANCIEROS.-Otros Productos Financieros","l10n_mx.g702_10","Acreedora","bamc_4108"
"bamc_4109","4109","False","Vista","account.account_type_expense_view1","DEPRECIACION CONTABLE","l10n_mx.g504","Deudora","bamc_0000"
"bamc_4109001","4109-001","False","Normal","account.data_account_type_expense","DEPRECIACION CONTABLE.- Equipo de Computo","l10n_mx.g504_11","Deudora","bamc_4109"
"bamc_4109002","4109-002","False","Normal","account.data_account_type_expense","DEPRECIACION CONTABLE.- Equipo de Transportes","l10n_mx.g504_09","Deudora","bamc_4109"
"bamc_4109003","4109-003","False","Normal","account.data_account_type_expense","DEPRECIACION CONTABLE.- Maquinaria y Equipo","l10n_mx.g504_08","Deudora","bamc_4109"
"bamc_4109004","4109-004","False","Normal","account.data_account_type_expense","DEPRECIACION CONTABLE.- Mob y Equipo de Ofcinai","l10n_mx.g504_10","Deudora","bamc_4109"
"bamc_4300","4300","False","Vista","account.account_type_expense_view1","COSTO DE DISTRIBUCION Y VENTAS","l10n_mx.g602","Deudora","bamc_0000"
"bamc_4300003","4300-003","False","Normal","account.data_account_type_expense","CTO DE DIST Y VTAS.-Combustibles y lubricantes","l10n_mx.g602_48","Deudora","bamc_4300"
"bamc_4300013","4300-013","False","Normal","account.data_account_type_expense","GTO DE DIST Y VTAS.-No deducibles","l10n_mx.g602_83","Deudora","bamc_4300"
"bamc_4350001","4350-001","False","Vista","account.account_type_expense_view1","COSTO DE SERV PROF DIRECTA","l10n_mx.g501","Deudora","bamc_4300"
"bamc_43500010001","4350-001-0001","False","Normal","account.data_account_type_expense","CTO DE SERV PROF DTA.-Produccion AM","l10n_mx.g501_02","Deudora","bamc_4350001"
"bamc_43500010002","4350-001-0002","False","Normal","account.data_account_type_expense","CTO DE SERV PROF DTA.-Produccion NR","l10n_mx.g501_02","Deudora","bamc_4350001"
"bamc_43500010003","4350-001-0003","False","Normal","account.data_account_type_expense","CTO DE SERV PROF DTA.-Calidad AM","l10n_mx.g501_02","Deudora","bamc_4350001"
"bamc_43500010004","4350-001-0004","False","Normal","account.data_account_type_expense","CTO DE SERV PROF DTA.-Calidad NR","l10n_mx.g501_02","Deudora","bamc_4350001"
"bamc_43500010006","4350-001-0006","False","Normal","account.data_account_type_expense","CTO DE SERV PROF DTA.- Produccion Tortilla","l10n_mx.g501_02","Deudora","bamc_4350001"
"bamc_4350002","4350-002","False","Vista","account.account_type_expense_view1","COSTO DE SERVICIO PROF INDIRECTO","l10n_mx.g501","Deudora","bamc_4300"
"bamc_43500020001","4350-002-0001","False","Normal","account.data_account_type_expense","CTO DE SERV PROF IND.-Trafico","l10n_mx.g501_02","Deudora","bamc_4350002"
"bamc_43500020002","4350-002-0002","False","Normal","account.data_account_type_expense","CTO DE SERV PROF IND.-Logistica","l10n_mx.g501_02","Deudora","bamc_4350002"
"bamc_43500020003","4350-002-0003","False","Normal","account.data_account_type_expense","CTO DE SER PROF IND.-Montacargas/Voc","l10n_mx.g501_02","Deudora","bamc_4350002"
"bamc_43500020004","4350-002-0004","False","Normal","account.data_account_type_expense","CTO DE SERV PROF IND.-Mtto Industrial","l10n_mx.g501_02","Deudora","bamc_4350002"
"bamc_43500020005","4350-002-0005","False","Normal","account.data_account_type_expense","CTO DE SERV PROF IND.-Vigilancia","l10n_mx.g501_02","Deudora","bamc_4350002"
"bamc_4350003","4350-003","False","Normal","account.data_account_type_expense","ADMINISTRACION VENTAS","l10n_mx.g501","Deudora","bamc_4300"
"bamc_4350004","4350-004","False","Normal","account.data_account_type_expense","ADMINISTRACION OFICINA","l10n_mx.g501","Deudora","bamc_4300"
"bamc_4350005","4350-005","False","Vista","account.account_type_expense_view1","SERV PROF NO DEDUCIBLES","l10n_mx.g501","Deudora","bamc_4300"
"bamc_43500050001","4350-005-0001","False","Normal","account.data_account_type_expense","SERV PROF NO DED.-Administracion","l10n_mx.g501_02","Deudora","bamc_4350005"
"bamc_43500050002","4350-005-0002","False","Normal","account.data_account_type_expense","SERV PROF NO DED.-Nr","l10n_mx.g501_02","Deudora","bamc_4350005"
"bamc_43500050005","4350-005-0005","False","Normal","account.data_account_type_expense","SERV PROF NO DED.- Ventas","l10n_mx.g501_02","Deudora","bamc_4350005"
"bamc_4350006","4350-006","False","Vista","account.account_type_expense_view1","CTO DE SERV PROF TALLER","l10n_mx.g501","Deudora","bamc_4300"
"bamc_43500061","4350-006-1","False","Normal","account.data_account_type_expense","CTO DE SERV PROF TALLER.-TALLER","l10n_mx.g501_02","Deudora","bamc_4350006"
"bamc_4355001","4355-001","False","Vista","account.account_type_expense_view1","NOMINA DIRECTA","l10n_mx.g605","Deudora","bamc_4300"
"bamc_43550010001","4355-001-0001","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Sueldos y Salarios","l10n_mx.g605_02","Deudora","bamc_4355001"
"bamc_43550010002","4355-001-0002","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN.-Gratificaciones","l10n_mx.g605_11","Deudora","bamc_4355001"
"bamc_43550010003","4355-001-0003","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Premio Puntualidad","l10n_mx.g605_06","Deudora","bamc_4355001"
"bamc_43550010004","4355-001-0004","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Premio Asistencia","l10n_mx.g605_05","Deudora","bamc_4355001"
"bamc_43550010005","4355-001-0005","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Horas Extras","l10n_mx.g605_04","Deudora","bamc_4355001"
"bamc_43550010006","4355-001-0006","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Despensa","l10n_mx.g605_16","Deudora","bamc_4355001"
"bamc_43550010007","4355-001-0007","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Vacaciones","l10n_mx.g605_07","Deudora","bamc_4355001"
"bamc_43550010008","4355-001-0008","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Prima Vacacional","l10n_mx.g605_08","Deudora","bamc_4355001"
"bamc_43550010009","4355-001-0009","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN .-Aguinaldo","l10n_mx.g605_13","Deudora","bamc_4355001"
"bamc_43550010010","4355-001-0010","False","Normal","account.data_account_type_expense","NOMINA DIRECTA PRODUCCIÓN -Indemnizacion","l10n_mx.g605_14","Deudora","bamc_4355001"
"bamc_4500","4500","False","Vista","account.account_type_income_view1","DEVOLUCIONES, DESCUENTOS O BONIFICACIONES SOBRE VENTAS","l10n_mx.g402","Acreedora","bamc_0000"
"bamc_4500001","4500-001","False","Normal","account.data_account_type_income","DEVOLUCIONES, DESCUENTOS O BONIFICACIONES SOBRE VENTAS A LA TASA GRAL","l10n_mx.g402_01","Acreedora","bamc_4500"
"bamc_4500002","4500-002 ","False","Normal","account.data_account_type_income","DEVOLUCIONES, DESCUENTOS O BONIFICACIONES SOBRE VENTAS AL 0%","l10n_mx.g402_02","Acreedora","bamc_4500"
"bamc_4600","4600","False","Normal","account.data_account_type_expense","COSTO DE PRODUCCION","l10n_mx.g501_02","Deudora","bamc_0000"
"bamc_4700","4700","False","Normal","account.data_account_type_expense","COSTO DE ADQUISICION","l10n_mx.g501_01","Deudora","bamc_0000"
"bamc_5300","5300","False","Vista","account.account_type_income_view1","OTROS INGRESOS","l10n_mx.g403","Acreedora","bamc_0000"
"bamc_53000010003","5300-001-0003","False","Normal","account.data_account_type_income","OTROS INGRESOS.-VARIOS CON IVA","l10n_mx.g403_01","Acreedora","bamc_5300"
"bamc_53000010004","5300-001-0004","False","Normal","account.data_account_type_income","OTROS INGRESOS.-VARIOS SIN IVA","l10n_mx.g403_01","Acreedora","bamc_5300"
"bamc_5300002","5300-002","False","Normal","account.data_account_type_income","OTROS INGRESOS.-Actualizacion Devolucion IVA","l10n_mx.g403_01","Acreedora","bamc_5300"
"bamc_5400","5400","False","Vista","account.account_type_income_view1","UTILIDAD O PERDIDA FISCAL DE ACTIVO FIJO","l10n_mx.g811","Acreedora","bamc_0000"
"bamc_5400001","5400-001","False","Normal","account.data_account_type_income","UTILIDAD O PERDIDA.- Venta o Baja de Activo Fijo","l10n_mx.g811_01","Acreedora","bamc_5400"
"bamc_5500","5500","False","Vista","account.account_type_income_view1","DEVOLUCIONES,DESCUENTOS O BONIFICACIONES SOBRE COMPRAS","l10n_mx.g503","Acreedora","bamc_0000"
"bamc_5500001","5500-001","False","Normal","account.data_account_type_income","DESCUENTOS Y/O DEVOLUCIONES S/COMPRA","l10n_mx.g503_01","Acreedora","bamc_5500"
"bamc_5600","5600","False","Vista","account.account_type_income_view1","VENTAS TOTALES","l10n_mx.g401","Acreedora","bamc_0000"
"bamc_5600001","5600-001","False","Normal","account.data_account_type_income","VENTAS TOTALES.- Ventas","l10n_mx.g401_01","Acreedora","bamc_5600"
"bamc_6000","6000","False","Normal","l10n_mx.account_type_other","CUENTAS DE  ORDEN","l10n_mx.g800","Deudora","bamc_0000"
"bamc_9999","9999","False","Normal","account.conf_account_type_equity","REGISTRO DE UTILIDAD DEL EJERCICIO","l10n_mx.g899","Acreedora","bamc_0000"
